length,orientation,centroid_x,centroid_y,label
4.2426406145095825,,286,527,
4.2426406145095825,,281,526,
4.2426406145095825,,272,524,
6.2426406145095825,90.0,267,523,
14.242640614509583,90.0,249,522,
14.242640614509583,90.0,236,521,
12.242640614509583,90.0,221,520,
4.2426406145095825,,384,455,
6.656854152679443,0.0,385,448,
4.2426406145095825,,386,438,
4.2426406145095825,,387,431,
4.2426406145095825,,137,426,
4.2426406145095825,,388,421,
4.2426406145095825,,135,420,
4.2426406145095825,,134,417,
6.656854152679443,0.0,133,412,
4.2426406145095825,,132,408,
4.2426406145095825,,391,404,
4.2426406145095825,,131,404,
4.2426406145095825,,130,400,
4.2426406145095825,,392,398,
4.2426406145095825,,129,396,
4.2426406145095825,,393,392,
4.2426406145095825,,128,392,
4.2426406145095825,,127,388,
4.2426406145095825,,394,387,
4.2426406145095825,,395,380,
4.2426406145095825,,123,375,
4.2426406145095825,,396,372,
4.2426406145095825,,122,372,
4.2426406145095825,,121,369,
4.2426406145095825,,397,364,
4.2426406145095825,,119,364,
4.2426406145095825,,118,361,
4.2426406145095825,,116,356,
4.2426406145095825,,113,351,
4.2426406145095825,,165,341,
4.2426406145095825,,164,337,
4.2426406145095825,,170,336,
4.2426406145095825,,171,333,
6.656854152679443,0.0,102,332,
9.656854152679443,0.0,397,331,
4.2426406145095825,,172,329,
6.656854152679443,0.0,173,324,
8.656854152679443,0.0,101,325,
4.2426406145095825,,174,321,
6.656854152679443,0.0,396,319,
4.2426406145095825,,157,317,
7.656854152679443,0.0,100,318,
6.656854152679443,0.0,175,316,
4.2426406145095825,,156,314,
6.656854152679443,0.0,176,311,
4.2426406145095825,,155,310,
4.2426406145095825,,177,307,
10.656854152679443,0.0,99,309,
6.656854152679443,0.0,154,305,
6.656854152679443,0.0,178,302,
6.656854152679443,0.0,153,300,
8.656854152679443,0.0,98,301,
9.656854152679443,0.0,396,301,
7.656854152679443,0.0,179,297,
4.2426406145095825,,152,295,
8.656854152679443,0.0,97,294,
6.656854152679443,0.0,397,291,
6.656854152679443,0.0,180,290,
6.656854152679443,0.0,151,290,
6.656854152679443,0.0,96,289,
4.2426406145095825,,181,286,
4.2426406145095825,,95,286,
6.656854152679443,0.0,150,284,
4.2426406145095825,,399,282,
6.656854152679443,0.0,94,282,
6.656854152679443,0.0,182,281,
6.656854152679443,0.0,93,279,
6.656854152679443,0.0,149,278,
4.2426406145095825,,400,277,
4.2426406145095825,,183,277,
4.2426406145095825,,401,273,
6.656854152679443,0.0,184,273,
4.2426406145095825,,147,271,
4.2426406145095825,,186,268,
4.2426406145095825,,146,268,
8.656854152679443,0.0,345,267,
4.2426406145095825,,88,266,
4.2426406145095825,,188,265,
4.2426406145095825,,87,263,
4.2426406145095825,,357,261,
4.2426406145095825,,183,261,
6.656854152679443,0.0,404,260,
4.2426406145095825,,86,260,
4.2426406145095825,,300,258,
4.2426406145095825,,358,257,
4.2426406145095825,,346,257,
6.656854152679443,0.0,85,256,
4.2426406145095825,,142,255,
8.656854152679443,0.0,182,255,
4.2426406145095825,,141,252,
6.656854152679443,0.0,405,251,
9.656854152679443,0.0,299,252,
6.656854152679443,0.0,84,251,
4.2426406145095825,,348,247,
6.656854152679443,0.0,83,246,
6.656854152679443,0.0,302,242,
13.071067690849304,176.09622192382812,297,244,
7.656854152679443,0.0,82,240,
4.2426406145095825,,408,238,
12.656854152679443,0.0,182,241,
4.2426406145095825,,409,234,
6.656854152679443,0.0,303,234,
4.2426406145095825,,410,229,
4.2426406145095825,,354,227,
6.656854152679443,0.0,304,227,
10.656854152679443,0.0,300,228,
6.656854152679443,0.0,411,223,
4.2426406145095825,,355,223,
14.656854152679443,0.0,183,227,
